ticker,lastChgPct,tradeDate,marketValue,negMarketValue,PE,PB,FY12P,PCF,NetAssetGrowRate,VSTD10,MACD,RSI,ROE,plusDI,minusDI,ADX,ASI,Hurst,avgTurnoverRate,label
000021,0.03164557,2017-03-01,14418342120.0,14404181120.0,41.9309,2.6847,0.0323,25.7998,0.0606,2731041.3707,0.0388,60.0739,0.0658,18.648,12.6091,30.5189,-1.7905,0.6391,0.0059,-0.05316973
000021,0.00530223,2017-02-03,13844550954.0,13830953504.0,40.2622,2.5778,0.0337,24.7731,0.0606,2652194.2669,0.0286,26.5957,0.0658,12.8129,20.6304,26.8248,0.3002,0.6308,0.0058,0.03164557
000021,-0.13406795,2017-01-03,14094665052.0,14080821952.0,40.9896,2.6244,0.0319,25.2206,0.0606,1779387.0184,0.0378,54.1772,0.0658,16.6101,26.255,43.7491,2.6908,0.6193,0.007,0.00530223
000021,0.03615604,2016-12-01,16095577836.0,16079769536.0,46.8086,2.997,0.0222,28.801,0.0606,8684439.469,0.0536,54.4201,0.0658,33.0749,25.0333,14.8149,1.9232,0.6309,0.0085,-0.13406795
000021,0.00670498,2016-11-01,15727762986.0,15712315936.0,45.7389,2.9285,0.0223,28.1429,0.0606,2957781.0822,-0.0364,45.4545,0.0658,16.565,25.3941,21.7194,-7.1459,0.4922,0.0103,0.03615604
000021,-0.0500455,2016-10-10,15816038550.0,15800504800.0,60.9287,2.9871,0.0219,58.5246,0.0167,4690246.872,0.0136,55.6707,0.0504,32.5795,18.6778,26.9687,1.0775,0.6332,0.0105,0.00670498
000021,-0.04017467,2016-09-01,15919026708.0,15903391808.0,61.3254,3.0066,0.0197,58.9057,0.0167,19716315.3727,-0.0916,43.8546,0.0504,20.1809,17.926,25.6702,-8.1006,0.6103,0.0106,-0.0500455
000021,0.03996367,2016-08-01,15168684414.0,15153786464.0,54.2031,2.8455,0.0207,17.8787,0.0094,38582126.0468,-0.1512,43.5767,0.0543,27.3933,28.4459,37.5969,-12.9038,0.6698,0.0218,-0.04017467
000021,0.28471412,2016-07-01,15816038550.0,15800504800.0,56.5163,2.9669,0.0202,18.6417,0.0094,31245214.7959,0.4816,82.461,0.0543,62.6798,15.5418,47.9141,14.9009,0.624,0.0327,0.03996367
000027,-0.013267,2019-06-03,23509435188.0,23509435188.0,23.5591,0.8848,0.0636,4.2837,0.229,1999206.5764,-0.013,30.7692,0.0458,12.0127,26.9853,32.8534,0.052,0.625,0.0017,0.04201681
